Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LoginTest,Chrome 113.0.0.0,,,2023-05-27 18:16:18,2023-05-27 18:17:23,1m - 4.145s,PASSED
,,,,,,,
Test Cases/TC001- LoginTest,Chrome 113.0.0.0,,,2023-05-27 18:16:19,2023-05-27 18:16:29,10.064s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 18:16:20,2023-05-27 18:16:25,5.162s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 18:16:25,2023-05-27 18:16:26,1.087s,PASSED
"setText(findTestObject(""Object Repository/TC001_LoginTest/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 113.0.0.0,,,2023-05-27 18:16:26,2023-05-27 18:16:27,1.357s,PASSED
"setText(findTestObject(""Object Repository/TC001_LoginTest/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 113.0.0.0,,,2023-05-27 18:16:27,2023-05-27 18:16:28,0.932s,PASSED
"click(findTestObject(""Object Repository/TC001_LoginTest/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 113.0.0.0,,,2023-05-27 18:16:28,2023-05-27 18:16:29,0.583s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-27 18:16:29,2023-05-27 18:16:29,0.249s,PASSED
,,,,,,,
Test Cases/TC001- LoginTest,Chrome 113.0.0.0,,,2023-05-27 18:16:29,2023-05-27 18:16:35,6.043s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 18:16:29,2023-05-27 18:16:32,2.387s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 18:16:32,2023-05-27 18:16:32,0.697s,PASSED
"setText(findTestObject(""Object Repository/TC001_LoginTest/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 113.0.0.0,,,2023-05-27 18:16:32,2023-05-27 18:16:33,1.221s,PASSED
"setText(findTestObject(""Object Repository/TC001_LoginTest/Page_Swag Labs/input_Swag Labs_password""), Password)",Chrome 113.0.0.0,,,2023-05-27 18:16:33,2023-05-27 18:16:34,0.824s,PASSED
"click(findTestObject(""Object Repository/TC001_LoginTest/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 113.0.0.0,,,2023-05-27 18:16:34,2023-05-27 18:16:35,0.608s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-27 18:16:35,2023-05-27 18:16:35,0.276s,PASSED
,,,,,,,
Test Cases/TC001- LoginTest,Chrome 113.0.0.0,,,2023-05-27 18:16:35,2023-05-27 18:16:46,11.254s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 18:16:35,2023-05-27 18:16:38,2.543s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 113.0.0.0,,,2023-05-27 18:16:38,2023-05-27 18:16:39,1.065s,PASSED
"setText(findTestObject(""Object Repository/TC001_LoginTest/Page_Swag Labs/input_Swag Labs_user-name""), Username)",Chrome 113.0.0.0,,,2023-05-27 18:16:39,2023-05-27 18:16:40,1.071s,PASSED
